VIN,Error Code,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Body Class,Doors,Gross Vehicle Weight Rating From,Trailer Type Connection,Trailer Body Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Bus Floor Configuration Type,Bus Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Fuel Type - Primary,Engine Configuration,Other Engine Info,Turbo,Seat Belt Type,Front Air Bag Locations,Side Air Bag Locations,Tire Pressure Monitoring System (TPMS) Type,Wheel Base (inches) From,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Axles,Battery Voltage (Volts) From,Engine Model,Fuel Type - Secondary,Engine Brake (hp) From,Electrification Level,Engine Manufacturer,Knee Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Keyless Ignition,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Forward Collision Warning (FCW),Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Blind Spot Warning (BSW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Rear Cross Traffic Alert,Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Base Price ($),Fuel Delivery / Fuel Injection Type,Top Speed (MPH),Transmission Speeds,Valve Train Design,Curtain Air Bag Locations,Other Restraint System Info,Active Safety System Note,Series2,Rear Automatic Emergency Braking,Brake System Description,Blind Spot Intervention (BSI),Lane Centering Assistance,Note,Pretensioner,Trim2,Seat Cushion Air Bag Locations,Adaptive Driving Beam (ADB),Engine Stroke Cycles,Event Data Recorder (EDR),Cooling Type,Parking Assist,Windows,Additional Error Text,Engine Brake (hp) To,Wheel Base Type,Entertainment System,SAE Automation Level From,Battery Type,Wheel Base (inches) To,Battery Energy (kWh) From,Number of Battery Packs per Vehicle,EV Drive Unit,Track Width (inches),Curb Weight (pounds),Suggested VIN,Other Battery Info,Charger Power (kW)
2HGFC2F69LH589432,0,0 - VIN decoded clean. Check Digit (9th position) is correct,2HGFC2F6*LH,,HONDA,"HONDA OF CANADA MFG., A DIVISION OF HONDA CANADA INC.",Civic,2020,ALLISTON,,LX,PASSENGER CAR,CANADA,,ONTARIO,Sedan/Saloon,4,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1996,122.04748818946,2.0,Gasoline,In-Line,Sequential Multiport Fuel Injection,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,106.30,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,K20C2,,158,,Honda,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,,,Standard,,Standard,,,,,Dual Overhead Cam (DOHC),1st and 2nd Rows,,,,,,,,,,,,,4,,Water,,,,,,,,,,,,,,,,,
3C4NJDDB9KT765736,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3C4NJDDB*KT,,JEEP,CHRYSLER DE MEXICO TOLUCA,Compass,2019,TOLUCA,,Trailhawk,MULTIPURPOSE PASSENGER VEHICLE (MPV),MEXICO,Toluca Assembly,MEXICO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2400.0,146.45698582735,2.4,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),All Rows,Direct,103.80,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,4,17,17,Left-Hand Drive (LHD),5,2,,2,,,,180,,FCA,,Standard,Standard,Standard,Standard,,Standard,Optional,Optional,Optional,Standard,,Optional,Optional,Optional,Standard,,,Standard,,Standard,29445.00,,,,,,Active Belts,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,
JM3KFBCM8M0301856,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JM3KFBCM*M0,,MAZDA,MAZDA MOTOR CORPORATION,CX-5,2021,HIROSHIMA,,Touring,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,MAZDA,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2500.0,152.55936023683,2.5,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,106.20,,,,4,17,17,Left-Hand Drive (LHD),5,2,Automatic,2,,PY Cylinder Decativation,,187,,MAZDA,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,LED,Standard,,,,6,,1st and 2nd Rows,Seat Belts: 1st & 2nd Rows,,Wagon Body Type,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,
1N4AL3AP6FC585141,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1N4AL3AP*FC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2015,SMYMA,,,PASSENGER CAR,UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,,4,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5XXG34J2XMG033850,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5XXG34J2*MG,,KIA,"KIA GEORGIA, INC",K5,2021,,,EX,PASSENGER CAR,UNITED STATES (USA),,GEORGIA,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,1600.0,97.63799055157,1.6,Gasoline,,,Yes,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,112.20,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,Automatic,2,,T-GDI GAMMA II,,,,KMC,Driver Seat Only,Standard,Standard,Standard,Standard,,,,,Standard,,Standard,,Standard,Standard,Standard,,,Standard,LED,Standard,,,,8,Dual Overhead Cam (DOHC),1st and 2nd Rows,Seat Belt: All Positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM8J2CA43KU073176,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KM8J2CA4*KU,,HYUNDAI,HYUNDAI MOTOR CO,Tucson,2019,ULSAN,,SE,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2000,122.0474881894,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,Automatic,,,GDI Nu,,164,,HMC,,,,,,,,,,,,,,,,,,,,,,,,,6,Dual Overhead Cam (DOHC),1st and 2nd Rows,,,Wagon Body type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JF2SH61649G728370,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JF2SH616*9G,,SUBARU,SUBARU CORPORATION,Forester,2009,OTA,,2.5X,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,FHI,GUNMA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,,2500.0,152.55936023683,2.5,,,,,,,,Direct,,,,,,,,,,,Manual/Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,Wagon body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5J6RE48788L021801,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5J6RE487*8L,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",CR-V,2008,EAST LIBERTY,,EX-L,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,OHIO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2359.737216,144,2.359737216,Gasoline,In-Line,,,,,,Direct,,,,,,,,,,,Automatic,,,K24Z1,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Dual Overhead Cam (DOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1N4DL01D1YC140794,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1N4DL01D*YC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2000,SMYRNA,,,PASSENGER CAR,UNITED STATES (USA),Smyrna Plant,TENNESSEE,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,2400.0,146.45698582735,2.4,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),,,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,KA24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-Point manual belts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T1BF1FKXEU312232,0,0 - VIN decoded clean. Check Digit (9th position) is correct,4T1BF1FK*EU,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2014,GEORGETOWN,ASV50L/GSV50L/AVV50L,,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2500.0,152.55936023683,2.5,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),All Rows,Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,2AR-FE,,268,,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,Multipoint Fuel Injection (MPFI),,,,All Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C4NJDBB9NT110080,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3C4NJDBB*NT,,JEEP,CHRYSLER DE MEXICO TOLUCA,Compass,2022,TOLUCA,,"Longitude, North, Latitude",MULTIPURPOSE PASSENGER VEHICLE (MPV),MEXICO,Toluca Assembly,MEXICO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2400.0,146.45698582735,2.4,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),All Rows,Direct,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,Left-Hand Drive (LHD),,,Automatic,,,,,177,,FCA,,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,LED,Standard,,,,8,,,Active Belts,,,Standard,,,,"Longitude (B), North (Can), Latitude (M,U)",,,,Standard,,,,Optional,,,,,,,,,,,,,,,,
2T3RFREV7FW278882,0,0 - VIN decoded clean. Check Digit (9th position) is correct,2T3RFREV*FW,,TOYOTA,TOYOTA MOTOR MANUFACTURING CANADA,RAV4,2015,WOODSTOCK,ASA44L/ASA42L/AVA44L,XLE (M Grade),MULTIPURPOSE PASSENGER VEHICLE (MPV),CANADA,"Toyota Motor Manufacturing, Canada, Inc.",ONTARIO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2500.0,152.55936023683,2.5,Gasoline,In-Line,"Engine Type: PORT, L4",,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,,,,2AR-FE,,176,,,Driver Seat Only,,,,,,,,,,,,,,,,,,,,,,,,,,All Rows,,,Wagon body style,,,,,,,,Passenger Seat Only,,,,,,,,,,,,,,,,,,,,,
5N1AZ2BS5MC137780,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5N1AZ2BS*MC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Murano,2021,SMYRNA,,SV,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,5600.0,341.73296693050,5.6,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,111.20,,,,4,18,18,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,,,,,,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,LED,Standard,,,,,,1st and 2nd and 3rd Rows,"3-Point Manual Belts, 2nd row outboard 3-Point Manual Belts, 2nd row center 3-Point Manual Belts, 3rd row outboard 3-Point Manual Belts",,Wagon body style,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNDJE723897625451,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KNDJE723*97,,KIA,KIA CORPORATION,Sportage,2009,GWANGJU,,KM,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,Kia Motors Corporation,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,6,2700.0,164.76410905577,2.7,Gasoline,V-Shaped,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBA5R7C5XKAJ81033,0,0 - VIN decoded clean. Check Digit (9th position) is correct,WBA5R7C5*KA,,BMW,BMW AG,330i,2019,MUNICH,3-Series,xDrive,PASSENGER CAR,GERMANY,,,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,1997.5831016,121.9,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,112.20,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,18,18,Left-Hand Drive (LHD),5,2,Automatic,2,,,,255,,,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,,,Standard,,Standard,,Standard,Standard,,Standard,40250.00,,,8,,1st and 2nd Rows,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
KL77LGEP0SC105690,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KL77LGEP*SC,,CHEVROLET,GENERAL MOTORS LLC,Trax,2025,CHANGWON,,1RS,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,,GYEONGSANGNAM-DO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,Hydraulic,3,1200.0,73.22849291367,1.2,Gasoline,,"L3, DI, DVCP, E15-E85, GEN 1",Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,LBP,,,,,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Optional,Standard,Standard,LED,Standard,,,,,Dual Overhead Cam (DOHC),All Rows,AY0 - Active Manual Belts,,,Standard,,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,
1HGCV1F30NA005837,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCV1F3*NA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2022,MARYSVILLE,,Sport,PASSENGER CAR,UNITED STATES (USA),,OHIO,Sedan/Saloon,4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1500.0,91.53561614209,1.5,Gasoline,In-Line,Direct Fuel Injection,Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,5,2,Continuously Variable Transmission (CVT),,,L15BE,,192,,Honda,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,,,Standard,Standard,Standard,,,Standard,LED,Standard,,,,,Dual Overhead Cam (DOHC),1st and 2nd Rows,Front/Rear:Seat Belt / Rear: Seat Belt and Side Curtain Air Bag (Outer positions) / Seat Belt (Center position),,,,,,,,,,,,4,,Water,,,,,,,,,,,,,,,,,
KM8J23A47KU897715,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KM8J23A4*KU,,HYUNDAI,HYUNDAI MOTOR CO,Tucson,2019,ULSAN,,SE,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2000,122.0474881894,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,Automatic,,,GDI Nu,,164,,HMC,,,,,,,,,,,,,,,,,,,,,,,,,6,Dual Overhead Cam (DOHC),1st and 2nd Rows,,,Wagon Body type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NPD74LF2JH255953,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5NPD74LF*JH,,HYUNDAI,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Elantra,2018,,,SE,PASSENGER CAR,UNITED STATES (USA),Hyundai Motor Manufacturing Alabama LLC (HMMA),ALABAMA,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,2000,122.0474881894,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,106.30,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,15,15,Left-Hand Drive (LHD),5,,,2,,MPI NU,,147,,HMC,Driver Seat Only,Standard,Standard,Standard,,,,,,,,,,,,Optional,,,Standard,,,16950.00,Multipoint Fuel Injection (MPFI),,,Dual Overhead Cam (DOHC),1st and 2nd Rows,,Vehicle Stability Management (VSM): Standard; Electronic Brake-force Distribution (EBD): Standard; Brake Assist (BA): Standard; Remote keyless entry system with alarm: Standard; Driver's blind spot mirror: Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN8AS5MVXAW129626,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JN8AS5MV*AW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue,2010,MIYAWAKA,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,Kyushu Plant,FUKUOKA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,4,,,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,2nd row center 3-point manual belts,,Wagon body,,,,,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
1GNFK23089J100535,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1GNFK230*9J,,CHEVROLET,GENERAL MOTORS LLC,Tahoe,2009,JANESVILLE,1/2 Ton,LT,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,WISCONSIN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,8,5300.0,323.42584370208,5.3,Flexible Fuel Vehicle (FFV),V-Shaped,,,,,,Direct,,,,,,,,,,,,,,LMG,,,,GM,,,,,,,,,,,,,,,,,,,,,,,Sequential Fuel Injection (SFI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4S4BSADCXF3238597,0,0 - VIN decoded clean. Check Digit (9th position) is correct,4S4BSADC*F3,,SUBARU,"SUBARU OF AMERICA, INC",Outback,2015,LAFAYETTE,,Premium+All Weather Package+Moonroof,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),SIA,INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,2500.0,152.55936023683,2.5,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,Continuously Variable Transmission (CVT),,,2.5L U5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,Seat-mounted side air bags on seat back and roof-mounted side curtain air bags.,,Wagon body style,,,,,This vehicle is manufactured by FHI and assembled by SIA.,,,,,,,,,,,,,,,,,,,,,,,,
3N1AB7AP2KY363379,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3N1AB7AP*KY,,NISSAN,"NISSAN MEXICANA, S.A. DE C.V.",Sentra,2019,AGUASCALIENTES,,,PASSENGER CAR,MEXICO,"Nissan Mexicana, S.A. de C.V.",AGUASCALIENTES,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,,1800.0,109.84273937051,1.8,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,"Driver and passenger frontal air bags, 3-point manual belts, side air bags, and curtain side air bags  2nd row outboard 3-point manual belts and curtain side air bags  2nd row center 3-point manual belts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C6LRVCG3NE119286,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3C6LRVCG*NE,,RAM,CHRYSLER DE MEXICO TOLUCA,ProMaster 2500,2022,SALTILLO,VF,High Roof,TRUCK,MEXICO,SALTILLO VAN/TRUCK ASSEMBLY PLANT,COAHUILA,Cargo Van,,"Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,Hydraulic,6,3600.0,219.68547874103,3.6,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,136,,,,,,,Left-Hand Drive (LHD),,,,,,,,280,,FCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",,Medium,,,,,,,,,,,,
7FARW1H52HE032395,0,0 - VIN decoded clean. Check Digit (9th position) is correct,7FARW1H5*HE,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",CR-V,2017,GREENSBURG,,EX,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1500.0,91.53561614209,1.5,Gasoline,In-Line,Direct Fuel Injection,Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,104.70,,,,4,18,18,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,L15BE,,190,,Honda,,Standard,Standard,Standard,Standard,,Standard,Standard,,,Standard,,Standard,Standard,Standard,Standard,,,Standard,,Standard,26795.00,,125,,Dual Overhead Cam (DOHC),1st and 2nd Rows,"seat belts: front, rear, rear center",,,,,,,,,,,Standard,4,,Water,,,,,,,,,,,,,,,,,
